b'    Time,      Link,Lane,     VehNo,   VehType,      Line,DesSpeed,\r\n',datetime
2816.3,852,1,341,102,0,121.6,\r\n',2026-04-06 16:32:31.300
2819.3,907,1,342,100,0,106.2,\r\n',2026-04-06 16:32:34.300
2820.4,334,1,343,105,0,99.9,\r\n',2026-04-06 16:32:35.400
2821.9,988,1,344,101,0,99.0,\r\n',2026-04-06 16:32:36.900
2822.2,162,1,345,1174,0,33.3,\r\n',2026-04-06 16:32:37.200
2845.4,988,1,346,100,0,128.0,\r\n',2026-04-06 16:33:00.400
2888.8,334,1,347,101,0,88.7,\r\n',2026-04-06 16:33:43.800
2890.9,334,2,348,101,0,117.5,\r\n',2026-04-06 16:33:45.900
2890.1,988,1,349,100,0,105.0,\r\n',2026-04-06 16:33:45.100
2901.4,334,1,350,101,0,100.2,\r\n',2026-04-06 16:33:56.400
2912.1,55,1,351,100,0,101.4,\r\n',2026-04-06 16:34:07.100
2922.6,334,1,352,100,0,126.8,\r\n',2026-04-06 16:34:17.600
2927.3,852,1,353,100,0,116.7,\r\n',2026-04-06 16:34:22.300
2928.5,334,2,354,100,0,129.7,\r\n',2026-04-06 16:34:23.500
